The Beatles;Revolver;1966;Rock-n-Roll;UK
Bob Dylan;Bob Dylan;1962;Folk;US
Elvis Presley;Surrender;1961;Pop;US
The Rolling Stones;Satisfaction;1965;Rock;UK
Rammstein;Deutschland;2019;Metal;Germany
Sabaton;The Great War;2019;Metal;Sweden
Akvarium;Poezd v ogne;1988;Rock;Russia
Alisa;Energiya;1985;Rock;Russia
Zemfira;Zemfira;1998;Rock;Russia
Viktor Tsoy;Gruppa Krovi;1989;Rock;Soviet Union
Bob Marley;Soul Rebels;1970;Reggi;Jamaica
Diana Arbenina;Tsunami;2002;Rock;Russia
Bi-2;Bi-2;2000;Rock;Russia
Led Zeppelin;Led Zeppelin;1969;Rock;UK
Steve Wonder;Talking Book;1972;Soul;US
Sam Cook;You Send Me;1957;Soul;US
Maddy Waters;After the Rain;1969;Blues;US
Splin;Harry Potter;2020;Rock;Russia
Daft Punk;Trone;2010;Electronic;France
Nickelback;No Fixed Address;2014;Rock;Canada
Celine Dion;Incognito;1987;Pop;Canada
U2;Boy;1980;Rock;Ireland
Markul;Blues;2018;Hip-Hop;Russia
Noize MC;Make Some Noize;2015;Hip-Hop;Russia
AC/DC;Back in Black;1980;Rock;Australia
Kaleo;Way Down We Go;2015;Blues;Iceland
